Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.5005536675453186, 0.8958486318588257]","[0.5763239860534668, 0.8388585448265076]","[0.5960980653762817, 0.7304239273071289]","[0.5462149381637573, 0.6557923555374146]","[0.46271148324012756, 0.649240255355835]","[0.6178659796714783, 0.6149551868438721]","[0.6230008602142334, 0.5094626545906067]","[0.6245655417442322, 0.4369042217731476]","[0.6214731931686401, 0.38485389947891235]","[0.5499413013458252, 0.6119066476821899]","[0.5624265670776367, 0.4868074655532837]","[0.569736897945404, 0.40519338846206665]","[0.5762688517570496, 0.3452622592449188]","[0.4923131465911865, 0.6276160478591919]","[0.5003572702407837, 0.5183366537094116]","[0.5130839943885803, 0.4471333920955658]","[0.5201669931411743, 0.39223578572273254]","[0.4400393068790436, 0.6547340154647827]","[0.44761765003204346, 0.5711373090744019]","[0.45876893401145935, 0.5162760019302368]","[0.47052037715911865, 0.4736819267272949]"
"[0.47237300872802734, 0.9351049065589905]","[0.36649876832962036, 0.885969877243042]","[0.32104170322418213, 0.771729052066803]","[0.3571600317955017, 0.6827957630157471]","[0.4145834147930145, 0.6803076267242432]","[0.3728117048740387, 0.627837598323822]","[0.3755565881729126, 0.5151224136352539]","[0.38213521242141724, 0.44553908705711365]","[0.39187511801719666, 0.3870845139026642]","[0.42488473653793335, 0.6241930723190308]","[0.4280152916908264, 0.4895867109298706]","[0.43416839838027954, 0.3972856104373932]","[0.437927782535553, 0.32591864466667175]","[0.4696950614452362, 0.6419524550437927]","[0.47278323769569397, 0.5199853181838989]","[0.47566136717796326, 0.437793105840683]","[0.4778602421283722, 0.37446752190589905]","[0.5161928534507751, 0.6751129031181335]","[0.5142209529876709, 0.5755096077919006]","[0.5158749222755432, 0.5126153826713562]","[0.5221052169799805, 0.45932525396347046]"
"[0.525932252407074, 0.8836700916290283]","[0.6150871515274048, 0.8449520468711853]","[0.6522597074508667, 0.7325530052185059]","[0.6109445095062256, 0.6526937484741211]","[0.523903489112854, 0.6619747877120972]","[0.627845048904419, 0.622434139251709]","[0.6336110830307007, 0.5194745063781738]","[0.6296095848083496, 0.4542738199234009]","[0.6242726445198059, 0.40125367045402527]","[0.5734283924102783, 0.6091344356536865]","[0.5774256587028503, 0.49336671829223633]","[0.5804678797721863, 0.41378307342529297]","[0.5772829651832581, 0.3523866534233093]","[0.5224870443344116, 0.620620608329773]","[0.5240735411643982, 0.5098111033439636]","[0.5288968682289124, 0.44119954109191895]","[0.525773286819458, 0.38704270124435425]","[0.47055745124816895, 0.6518980264663696]","[0.4758286476135254, 0.5645042061805725]","[0.4799243211746216, 0.5094854235649109]","[0.4800037741661072, 0.46312063932418823]"
"[0.4659331142902374, 0.8923578858375549]","[0.37555381655693054, 0.8548880815505981]","[0.33724355697631836, 0.7497863173484802]","[0.3675416111946106, 0.6643149256706238]","[0.42166444659233093, 0.6683032512664795]","[0.39019840955734253, 0.6165006756782532]","[0.3934251368045807, 0.51837557554245]","[0.39979925751686096, 0.45613548159599304]","[0.4100719094276428, 0.4038658142089844]","[0.43145596981048584, 0.6094904541969299]","[0.4331130087375641, 0.49290621280670166]","[0.440757155418396, 0.41079574823379517]","[0.4499993324279785, 0.3437890410423279]","[0.46670225262641907, 0.625292956829071]","[0.47320792078971863, 0.5145718455314636]","[0.47902679443359375, 0.44298040866851807]","[0.48681122064590454, 0.3852481245994568]","[0.5035649538040161, 0.659900963306427]","[0.5029180645942688, 0.568362295627594]","[0.5080709457397461, 0.5116599798202515]","[0.5191228985786438, 0.46233102679252625]"
"[0.5421809554100037, 0.7048713564872742]","[0.5761741399765015, 0.6703599691390991]","[0.5989880561828613, 0.6284768581390381]","[0.606697142124176, 0.6036679148674011]","[0.5965368151664734, 0.5878375768661499]","[0.6089157462120056, 0.5938286185264587]","[0.5950089693069458, 0.5101757049560547]","[0.5810263156890869, 0.45897406339645386]","[0.5694535374641418, 0.41910505294799805]","[0.5904885530471802, 0.6040505170822144]","[0.5724316835403442, 0.5000868439674377]","[0.5547705292701721, 0.4358255863189697]","[0.5399261116981506, 0.3895661234855652]","[0.5632021427154541, 0.6153796911239624]","[0.5416200160980225, 0.5146351456642151]","[0.525627613067627, 0.4537470042705536]","[0.5164623260498047, 0.4115101993083954]","[0.5288703441619873, 0.6248405575752258]","[0.5113765001296997, 0.5477747321128845]","[0.5013980269432068, 0.4997502863407135]","[0.4948040843009949, 0.46134933829307556]"
"[0.48459240794181824, 0.8784059286117554]","[0.3878501057624817, 0.838343620300293]","[0.35160863399505615, 0.7318852543830872]","[0.4033370912075043, 0.6499643921852112]","[0.4659254252910614, 0.6534607410430908]","[0.3732212781906128, 0.6132211089134216]","[0.37468093633651733, 0.5111844539642334]","[0.3821065127849579, 0.4525752365589142]","[0.3912052512168884, 0.40233999490737915]","[0.42961636185646057, 0.6006795167922974]","[0.42765066027641296, 0.4881705045700073]","[0.4298635721206665, 0.4151737093925476]","[0.43006470799446106, 0.3530217707157135]","[0.47819414734840393, 0.6119993925094604]","[0.47925281524658203, 0.5096182227134705]","[0.4783926010131836, 0.44526708126068115]","[0.47697070240974426, 0.3923783004283905]","[0.5296957492828369, 0.6423171758651733]","[0.5261932611465454, 0.5639992356300354]","[0.5261023044586182, 0.5150484442710876]","[0.5298914313316345, 0.4722917079925537]"
"[0.5081374049186707, 0.9446320533752441]","[0.5938426852226257, 0.9225339889526367]","[0.6354852914810181, 0.7909348607063293]","[0.5732666254043579, 0.6886259317398071]","[0.4755156636238098, 0.6733766198158264]","[0.6458451151847839, 0.6508214473724365]","[0.6534573435783386, 0.5215317010879517]","[0.6560364365577698, 0.43592989444732666]","[0.6533074378967285, 0.37014302611351013]","[0.5724133253097534, 0.6319409608840942]","[0.5847916603088379, 0.4909503161907196]","[0.5974661707878113, 0.3933880627155304]","[0.6040493249893188, 0.3199957609176636]","[0.5031206011772156, 0.6458542943000793]","[0.5163825750350952, 0.5132211446762085]","[0.532114565372467, 0.4308251142501831]","[0.5417665839195251, 0.36224648356437683]","[0.4331885576248169, 0.6803233027458191]","[0.4433836340904236, 0.5840914249420166]","[0.45427268743515015, 0.5233032703399658]","[0.464360773563385, 0.4688372015953064]"
"[0.5180773735046387, 0.9535770416259766]","[0.6272397637367249, 0.8933979868888855]","[0.6796489357948303, 0.7676366567611694]","[0.6464189291000366, 0.6723533272743225]","[0.5573928356170654, 0.6858808398246765]","[0.6416283845901489, 0.6433871984481812]","[0.6416274905204773, 0.5236359238624573]","[0.6306880712509155, 0.44796741008758545]","[0.6206008195877075, 0.38242006301879883]","[0.5916035771369934, 0.6316149830818176]","[0.5949171781539917, 0.4932989478111267]","[0.5886628031730652, 0.405373752117157]","[0.5759614109992981, 0.33648681640625]","[0.5409495830535889, 0.6482402682304382]","[0.5376971364021301, 0.5083195567131042]","[0.5372127294540405, 0.4184685945510864]","[0.5303277373313904, 0.3468363583087921]","[0.4892803132534027, 0.6880365610122681]","[0.49116218090057373, 0.5718945860862732]","[0.49233704805374146, 0.5017801523208618]","[0.490106463432312, 0.44302475452423096]"
"[0.49536755681037903, 0.9476361870765686]","[0.3881613612174988, 0.8903408646583557]","[0.34822189807891846, 0.7511906623840332]","[0.41229334473609924, 0.6488832235336304]","[0.49325889348983765, 0.6507145166397095]","[0.3514098525047302, 0.6319390535354614]","[0.3431825041770935, 0.5094517469406128]","[0.34577518701553345, 0.4433162212371826]","[0.3511412739753723, 0.3849168121814728]","[0.42033421993255615, 0.6139279007911682]","[0.4114866256713867, 0.4796771705150604]","[0.40886858105659485, 0.3984891474246979]","[0.400457501411438, 0.3336401581764221]","[0.48320725560188293, 0.6227931380271912]","[0.4787285029888153, 0.5048667192459106]","[0.4718796908855438, 0.4319206476211548]","[0.45931002497673035, 0.37487855553627014]","[0.5523553490638733, 0.6525734663009644]","[0.5455527305603027, 0.5620787739753723]","[0.5393043756484985, 0.507621169090271]","[0.5346472859382629, 0.464563250541687]"
"[0.4753926694393158, 0.8606334924697876]","[0.38603663444519043, 0.809860348701477]","[0.35356417298316956, 0.7273957133293152]","[0.3671450614929199, 0.6643965244293213]","[0.41100555658340454, 0.6498367190361023]","[0.4081106185913086, 0.6369897723197937]","[0.40830597281455994, 0.5525249242782593]","[0.41115817427635193, 0.4900255501270294]","[0.4184485971927643, 0.44184327125549316]","[0.44309404492378235, 0.6296621561050415]","[0.4443311095237732, 0.5249910950660706]","[0.45299288630485535, 0.451504111289978]","[0.46535417437553406, 0.3977750837802887]","[0.47024738788604736, 0.6330036520957947]","[0.46815887093544006, 0.534198522567749]","[0.47268444299697876, 0.4628128409385681]","[0.48408153653144836, 0.40938711166381836]","[0.49276477098464966, 0.6442381143569946]","[0.49215275049209595, 0.5571898221969604]","[0.49592822790145874, 0.5054821372032166]","[0.5063931941986084, 0.4613211154937744]"
