Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.49169036746025085, 0.8759567737579346]","[0.5623416900634766, 0.8372471332550049]","[0.6160167455673218, 0.7451632022857666]","[0.6398409605026245, 0.6684102416038513]","[0.6085637211799622, 0.610818088054657]","[0.5616732239723206, 0.6617046594619751]","[0.5851953625679016, 0.6093631982803345]","[0.599937379360199, 0.5875627398490906]","[0.6075432896614075, 0.5847514867782593]","[0.5112099647521973, 0.6450762152671814]","[0.5022634267807007, 0.5480471849441528]","[0.5067267417907715, 0.47966712713241577]","[0.509506106376648, 0.429138720035553]","[0.46471554040908813, 0.6580872535705566]","[0.4390696883201599, 0.5679762363433838]","[0.43122750520706177, 0.5093085169792175]","[0.42357516288757324, 0.46209901571273804]","[0.42223984003067017, 0.6939617395401001]","[0.38741326332092285, 0.6357328295707703]","[0.3645867705345154, 0.591301679611206]","[0.34912770986557007, 0.5471745729446411]"
"[0.48030924797058105, 0.9920848608016968]","[0.5703548192977905, 0.9350870847702026]","[0.6331912279129028, 0.8249975442886353]","[0.6611177921295166, 0.7193805575370789]","[0.6350182294845581, 0.6390362977981567]","[0.5940753817558289, 0.7245349287986755]","[0.6299057602882385, 0.6365099549293518]","[0.6629490256309509, 0.6232017278671265]","[0.6757963299751282, 0.644831657409668]","[0.5336391925811768, 0.69892418384552]","[0.5417900085449219, 0.5593748092651367]","[0.548261284828186, 0.4678212106227875]","[0.5504752993583679, 0.39378708600997925]","[0.4703446626663208, 0.7073344588279724]","[0.4532972574234009, 0.579241156578064]","[0.44834378361701965, 0.49330785870552063]","[0.44128331542015076, 0.4248831868171692]","[0.404278039932251, 0.7392715811729431]","[0.35522907972335815, 0.6478493213653564]","[0.32745882868766785, 0.5857800245285034]","[0.3093844950199127, 0.5305579900741577]"
"[0.48944011330604553, 0.9032201170921326]","[0.4217698574066162, 0.865317702293396]","[0.3752763569355011, 0.7797386050224304]","[0.3460269570350647, 0.7029064297676086]","[0.36051443219184875, 0.63649982213974]","[0.44362762570381165, 0.6848011016845703]","[0.42030617594718933, 0.6175624132156372]","[0.3960961699485779, 0.5965152978897095]","[0.379585325717926, 0.5982471704483032]","[0.4931979179382324, 0.6705763339996338]","[0.5040994882583618, 0.557645320892334]","[0.5036162734031677, 0.47968173027038574]","[0.5046078562736511, 0.41403335332870483]","[0.5421000123023987, 0.6818971037864685]","[0.5654269456863403, 0.5727013349533081]","[0.5799988508224487, 0.4994730055332184]","[0.5917914509773254, 0.4353669583797455]","[0.5840508937835693, 0.7129297852516174]","[0.6287395358085632, 0.630693793296814]","[0.6562164425849915, 0.5758846998214722]","[0.6765915155410767, 0.5250425934791565]"
"[0.5187100172042847, 0.945984959602356]","[0.5689772367477417, 0.8975272178649902]","[0.6101182699203491, 0.8171159029006958]","[0.6155164837837219, 0.7383946180343628]","[0.5967437624931335, 0.6536474823951721]","[0.6426011323928833, 0.6985033750534058]","[0.6509920954704285, 0.6212645769119263]","[0.6341434121131897, 0.6377499103546143]","[0.6149226427078247, 0.6803565621376038]","[0.5744390487670898, 0.6854115128517151]","[0.5825192928314209, 0.5526607632637024]","[0.5776953101158142, 0.46316397190093994]","[0.5747116804122925, 0.3789646327495575]","[0.5013103485107422, 0.698826789855957]","[0.48491689562797546, 0.5829344391822815]","[0.4695128798484802, 0.5002301335334778]","[0.45828837156295776, 0.4234433174133301]","[0.42926105856895447, 0.7284473776817322]","[0.37941932678222656, 0.6509442329406738]","[0.3466998040676117, 0.5929797887802124]","[0.32418200373649597, 0.5360313057899475]"
"[0.4968647360801697, 0.9847004413604736]","[0.4158795177936554, 0.9230531454086304]","[0.36218029260635376, 0.8164690732955933]","[0.33584481477737427, 0.7218790054321289]","[0.35263141989707947, 0.6545532941818237]","[0.43312904238700867, 0.7004528045654297]","[0.3948650360107422, 0.6093543171882629]","[0.37402504682540894, 0.6062875986099243]","[0.3700663447380066, 0.6287710666656494]","[0.49473315477371216, 0.6845597624778748]","[0.5000350475311279, 0.5499648451805115]","[0.4987410306930542, 0.4640888273715973]","[0.49458494782447815, 0.3930373787879944]","[0.5558406114578247, 0.6982855796813965]","[0.5775603652000427, 0.5667675137519836]","[0.5942027568817139, 0.4844953417778015]","[0.606904149055481, 0.4148504137992859]","[0.6096499562263489, 0.7334191799163818]","[0.6551662683486938, 0.6438015699386597]","[0.6862804293632507, 0.5867537260055542]","[0.7131468057632446, 0.5352131128311157]"
"[0.4952997863292694, 0.9420053958892822]","[0.42531633377075195, 0.8954776525497437]","[0.3760160207748413, 0.7945417165756226]","[0.34811046719551086, 0.7112433910369873]","[0.3620070815086365, 0.6536138653755188]","[0.43591341376304626, 0.6858465075492859]","[0.40773624181747437, 0.6110131740570068]","[0.38496822118759155, 0.5890359878540039]","[0.3664155900478363, 0.5803166627883911]","[0.4874439239501953, 0.6707786321640015]","[0.4878830909729004, 0.5492371320724487]","[0.48197296261787415, 0.4705483615398407]","[0.47341519594192505, 0.4071459174156189]","[0.540045440196991, 0.6836990714073181]","[0.5648902654647827, 0.5690410137176514]","[0.5779716372489929, 0.49416255950927734]","[0.5861061811447144, 0.4325008988380432]","[0.5907549858093262, 0.7158734798431396]","[0.6337234973907471, 0.6290780305862427]","[0.6648657321929932, 0.5763525366783142]","[0.6873317956924438, 0.5288325548171997]"
"[0.4968659281730652, 0.9948294162750244]","[0.4279077649116516, 0.882493793964386]","[0.40887901186943054, 0.8076968789100647]","[0.38218027353286743, 0.7349757552146912]","[0.3672642707824707, 0.658652126789093]","[0.5660790205001831, 0.730236828327179]","[0.5053216814994812, 0.6339550018310547]","[0.4454653859138489, 0.6153258681297302]","[0.40113475918769836, 0.6327718496322632]","[0.5873662829399109, 0.7329156398773193]","[0.5868003368377686, 0.571910560131073]","[0.5771413445472717, 0.4683421850204468]","[0.5661613345146179, 0.40324491262435913]","[0.5847737193107605, 0.7399044632911682]","[0.6071916818618774, 0.5784960985183716]","[0.6119053959846497, 0.48482465744018555]","[0.6273654103279114, 0.41906797885894775]","[0.5641353726387024, 0.7403472661972046]","[0.5903016924858093, 0.6232426166534424]","[0.6003658175468445, 0.5545278191566467]","[0.6190613508224487, 0.4947147071361542]"
"[0.5182433724403381, 0.9349318742752075]","[0.41520559787750244, 0.8573670983314514]","[0.37406980991363525, 0.7789584994316101]","[0.3513018786907196, 0.7159802913665771]","[0.3457430601119995, 0.6483055353164673]","[0.4790503680706024, 0.6900146007537842]","[0.43640565872192383, 0.6238421201705933]","[0.4019964337348938, 0.6004520654678345]","[0.37649106979370117, 0.6036189198493958]","[0.5221128463745117, 0.6826790571212769]","[0.5284454822540283, 0.5589494705200195]","[0.5212008953094482, 0.4761524200439453]","[0.5118169188499451, 0.409084290266037]","[0.5629570484161377, 0.6907891631126404]","[0.5830190777778625, 0.5728921890258789]","[0.5946107506752014, 0.49357539415359497]","[0.603905439376831, 0.4317251443862915]","[0.5987089276313782, 0.7048035264015198]","[0.6323825120925903, 0.6157189607620239]","[0.6542778015136719, 0.5597502589225769]","[0.677498996257782, 0.5108873248100281]"
"[0.501574695110321, 0.9162876009941101]","[0.4293726086616516, 0.8764972686767578]","[0.386222243309021, 0.7762789726257324]","[0.36078864336013794, 0.6932762265205383]","[0.372139573097229, 0.6378945708274841]","[0.4471847414970398, 0.6815318465232849]","[0.4206499457359314, 0.6144595146179199]","[0.39947694540023804, 0.5935091972351074]","[0.38598936796188354, 0.5887447595596313]","[0.4957946836948395, 0.6610637903213501]","[0.49822482466697693, 0.551192581653595]","[0.4975791871547699, 0.47567933797836304]","[0.49797356128692627, 0.40974417328834534]","[0.5456468462944031, 0.6708908081054688]","[0.5650985240936279, 0.56351238489151]","[0.5793713331222534, 0.4945540130138397]","[0.5905827879905701, 0.4344826340675354]","[0.5904029607772827, 0.7010215520858765]","[0.6277447938919067, 0.6178492307662964]","[0.6558820009231567, 0.5688062906265259]","[0.6785939931869507, 0.5245177745819092]"
"[0.5148199796676636, 0.9674196243286133]","[0.4146384000778198, 0.91872239112854]","[0.34922802448272705, 0.8087256550788879]","[0.33260011672973633, 0.7044190764427185]","[0.35321128368377686, 0.6233417987823486]","[0.42489537596702576, 0.7106846570968628]","[0.4234560430049896, 0.6262715458869934]","[0.410942405462265, 0.5811460614204407]","[0.3998594284057617, 0.5413008332252502]","[0.48062774538993835, 0.7026739716529846]","[0.4750329554080963, 0.5745458602905273]","[0.46548375487327576, 0.49173933267593384]","[0.4594331979751587, 0.41778624057769775]","[0.5375704765319824, 0.7170504331588745]","[0.5552448034286499, 0.5910061597824097]","[0.5650098323822021, 0.5132666230201721]","[0.5747069716453552, 0.44560813903808594]","[0.6019701957702637, 0.7481639981269836]","[0.650910496711731, 0.6575965881347656]","[0.680677056312561, 0.5986635684967041]","[0.7072153091430664, 0.5429602265357971]"
