Keypoint_0,Keypoint_1,Keypoint_2,Keypoint_3,Keypoint_4,Keypoint_5,Keypoint_6,Keypoint_7,Keypoint_8,Keypoint_9,Keypoint_10,Keypoint_11,Keypoint_12,Keypoint_13,Keypoint_14,Keypoint_15,Keypoint_16,Keypoint_17,Keypoint_18,Keypoint_19,Keypoint_20
"[0.47082260251045227, 0.7658980488777161]","[0.38607242703437805, 0.6925052404403687]","[0.3735746741294861, 0.5977717638015747]","[0.4203207492828369, 0.5184826254844666]","[0.46642762422561646, 0.4608291685581207]","[0.39348211884498596, 0.5357341170310974]","[0.3602406978607178, 0.461900532245636]","[0.34817495942115784, 0.5080921053886414]","[0.3468600809574127, 0.5634220838546753]","[0.443751722574234, 0.5318554639816284]","[0.4028884172439575, 0.4439871311187744]","[0.38228553533554077, 0.5036616921424866]","[0.37820982933044434, 0.5686241388320923]","[0.49598801136016846, 0.5398645997047424]","[0.44639042019844055, 0.5053626298904419]","[0.4243735074996948, 0.5903674364089966]","[0.42933428287506104, 0.6523226499557495]","[0.5497381687164307, 0.5572998523712158]","[0.4905126988887787, 0.5422098636627197]","[0.4748801290988922, 0.5991538763046265]","[0.4881477653980255, 0.6381750702857971]"
"[0.48729053139686584, 0.7782377600669861]","[0.3952198624610901, 0.7097416520118713]","[0.37704700231552124, 0.6037614941596985]","[0.42797425389289856, 0.5157656073570251]","[0.4775872528553009, 0.45291054248809814]","[0.36250942945480347, 0.5420383810997009]","[0.33999502658843994, 0.4668068289756775]","[0.36761510372161865, 0.5148617625236511]","[0.3897656798362732, 0.5679509043693542]","[0.4282620847225189, 0.5398625135421753]","[0.413601279258728, 0.45580634474754333]","[0.4329812526702881, 0.5255536437034607]","[0.44670283794403076, 0.5851219296455383]","[0.49034082889556885, 0.554265022277832]","[0.48777177929878235, 0.5063117742538452]","[0.4805612564086914, 0.6011799573898315]","[0.4774612486362457, 0.6667612195014954]","[0.549651563167572, 0.584875762462616]","[0.5407080054283142, 0.552950382232666]","[0.5239009261131287, 0.6194247007369995]","[0.5193135738372803, 0.6624963879585266]"
"[0.4829796850681305, 0.7468871474266052]","[0.5722719430923462, 0.701418936252594]","[0.6235206723213196, 0.6096065640449524]","[0.6054970026016235, 0.5362441539764404]","[0.5674867630004883, 0.49938422441482544]","[0.606124997138977, 0.5408769249916077]","[0.6103874444961548, 0.4642462134361267]","[0.5828424692153931, 0.5087336301803589]","[0.56584233045578, 0.5682051777839661]","[0.5467454195022583, 0.5356087684631348]","[0.5469388961791992, 0.4542824327945709]","[0.5268006324768066, 0.5221072435379028]","[0.5244077444076538, 0.5860044360160828]","[0.48859262466430664, 0.5495194792747498]","[0.4809216558933258, 0.5026240348815918]","[0.477647989988327, 0.5868715643882751]","[0.49163633584976196, 0.6443772912025452]","[0.4324236512184143, 0.5773782730102539]","[0.4337768256664276, 0.5454593300819397]","[0.441018283367157, 0.605429470539093]","[0.45822376012802124, 0.649867594242096]"
"[0.48012399673461914, 0.7591360211372375]","[0.5662046074867249, 0.7125014066696167]","[0.6062226891517639, 0.6056725382804871]","[0.567126989364624, 0.5155878067016602]","[0.5247784852981567, 0.46517258882522583]","[0.6227421760559082, 0.5452922582626343]","[0.617537260055542, 0.46470195055007935]","[0.5829063653945923, 0.5160041451454163]","[0.5673957467079163, 0.577095091342926]","[0.5572330355644226, 0.5375016927719116]","[0.5502529740333557, 0.45455455780029297]","[0.5297757387161255, 0.525136411190033]","[0.5278987288475037, 0.5873855948448181]","[0.494127094745636, 0.5466058254241943]","[0.47926419973373413, 0.49894988536834717]","[0.48078179359436035, 0.5873174071311951]","[0.4969671666622162, 0.6459665298461914]","[0.43455129861831665, 0.5709111094474792]","[0.4392731785774231, 0.5421459078788757]","[0.446750283241272, 0.6058506369590759]","[0.46505534648895264, 0.6524118781089783]"
"[0.48392748832702637, 0.791778564453125]","[0.5324586033821106, 0.7063837647438049]","[0.562131404876709, 0.583342432975769]","[0.5516530275344849, 0.48888787627220154]","[0.5394377708435059, 0.4373907744884491]","[0.6422312259674072, 0.5453879833221436]","[0.5957551002502441, 0.43668827414512634]","[0.5255493521690369, 0.478760689496994]","[0.4992128014564514, 0.5383988618850708]","[0.588904857635498, 0.5350893139839172]","[0.5305253267288208, 0.4288840889930725]","[0.4766836166381836, 0.4965395927429199]","[0.47171318531036377, 0.5641363263130188]","[0.5374007225036621, 0.5387156009674072]","[0.4675818383693695, 0.46236753463745117]","[0.43901675939559937, 0.5371928811073303]","[0.44786563515663147, 0.6032758951187134]","[0.4929625988006592, 0.5596239566802979]","[0.44485899806022644, 0.5065723061561584]","[0.42208969593048096, 0.558321475982666]","[0.42551928758621216, 0.6136387586593628]"
"[0.5292197465896606, 0.7815561294555664]","[0.6308969855308533, 0.7031339406967163]","[0.6468329429626465, 0.5916346907615662]","[0.5914934277534485, 0.5062650442123413]","[0.5317049026489258, 0.45372655987739563]","[0.6126893758773804, 0.5341053605079651]","[0.6449339389801025, 0.4600861072540283]","[0.6704039573669434, 0.5053414702415466]","[0.6785359382629395, 0.5687450170516968]","[0.5553209185600281, 0.533258318901062]","[0.6021476984024048, 0.4409947991371155]","[0.6297306418418884, 0.5157989859580994]","[0.6319587826728821, 0.5931722521781921]","[0.49856340885162354, 0.5422592759132385]","[0.5628551840782166, 0.49804553389549255]","[0.5832362174987793, 0.5990131497383118]","[0.5748804211616516, 0.6642552614212036]","[0.44104471802711487, 0.5637503862380981]","[0.515827476978302, 0.5325276851654053]","[0.5360122919082642, 0.6015648245811462]","[0.5300977826118469, 0.6501349210739136]"
"[0.4734877347946167, 0.7963158488273621]","[0.3824586868286133, 0.7134519815444946]","[0.37184596061706543, 0.6155155301094055]","[0.38742122054100037, 0.5319983959197998]","[0.427095890045166, 0.4771929979324341]","[0.45387884974479675, 0.5650497674942017]","[0.4532763957977295, 0.4844580292701721]","[0.42186111211776733, 0.48493364453315735]","[0.4086307883262634, 0.5029909014701843]","[0.48750972747802734, 0.5610606670379639]","[0.410862535238266, 0.46217721700668335]","[0.34735146164894104, 0.5204534530639648]","[0.327626496553421, 0.5858404040336609]","[0.5176494717597961, 0.5612477660179138]","[0.41965946555137634, 0.5070516467094421]","[0.3832753896713257, 0.6010174751281738]","[0.3959062993526459, 0.6669725775718689]","[0.5491104125976562, 0.5561509728431702]","[0.44732654094696045, 0.5350358486175537]","[0.4231044054031372, 0.6043804287910461]","[0.4486447274684906, 0.6497904062271118]"
"[0.5405137538909912, 0.7576314210891724]","[0.6108052134513855, 0.6738967895507812]","[0.6089489459991455, 0.5840381383895874]","[0.574845552444458, 0.51760333776474]","[0.5379312634468079, 0.46809858083724976]","[0.5517634153366089, 0.525184154510498]","[0.5815584063529968, 0.45967012643814087]","[0.621300995349884, 0.5005493760108948]","[0.6423301100730896, 0.5535847544670105]","[0.5150223970413208, 0.5313594341278076]","[0.5894584655761719, 0.47080525755882263]","[0.6219568252563477, 0.5340271592140198]","[0.6200506687164307, 0.5934807062149048]","[0.48235923051834106, 0.5409753322601318]","[0.5767924785614014, 0.5192313194274902]","[0.5909620523452759, 0.6003925800323486]","[0.5689862370491028, 0.6476883888244629]","[0.45199212431907654, 0.5536342859268188]","[0.5435957312583923, 0.5418297052383423]","[0.5555813908576965, 0.5974428653717041]","[0.5352393984794617, 0.6305228471755981]"
"[0.5034525394439697, 0.8174706697463989]","[0.6213790774345398, 0.7391261458396912]","[0.6454651951789856, 0.6130250692367554]","[0.5786998271942139, 0.5108022689819336]","[0.5091556906700134, 0.4525003731250763]","[0.6476953029632568, 0.5553464889526367]","[0.6702993512153625, 0.46088552474975586]","[0.6571972966194153, 0.5087578296661377]","[0.6397728323936462, 0.5798376202583313]","[0.5705727338790894, 0.5558067560195923]","[0.5950998663902283, 0.4449372887611389]","[0.5813127756118774, 0.5241534113883972]","[0.5752629637718201, 0.6000919938087463]","[0.4967309236526489, 0.5725176930427551]","[0.5074847936630249, 0.5146853923797607]","[0.5139967203140259, 0.6198643445968628]","[0.5253647565841675, 0.6848873496055603]","[0.4205949306488037, 0.5974714756011963]","[0.4443311095237732, 0.5546833872795105]","[0.459878146648407, 0.6276819109916687]","[0.47820383310317993, 0.6807020902633667]"
"[0.5194749236106873, 0.7491775751113892]","[0.5919565558433533, 0.6941550374031067]","[0.6148987412452698, 0.5918868780136108]","[0.5583701133728027, 0.5154740214347839]","[0.510330080986023, 0.46427884697914124]","[0.6087382435798645, 0.5368991494178772]","[0.6312218904495239, 0.46878594160079956]","[0.6445267200469971, 0.5134696364402771]","[0.648250937461853, 0.5650202631950378]","[0.5521203279495239, 0.5312200784683228]","[0.5829617977142334, 0.45249539613723755]","[0.5992480516433716, 0.52032470703125]","[0.6006898880004883, 0.5785390734672546]","[0.4956277012825012, 0.5424497127532959]","[0.537247896194458, 0.5075652003288269]","[0.5513347387313843, 0.5992488265037537]","[0.5477764010429382, 0.6476069688796997]","[0.43867868185043335, 0.5673388838768005]","[0.4911493957042694, 0.5509276986122131]","[0.508400559425354, 0.6141077280044556]","[0.5062893033027649, 0.6483086347579956]"
